trade_id,exchange,coin,trader_id,amount_usd,event_time
TRD000035,BYBIT,XRP,TRADER0110,4330.02,2026-08-01T11:26:58
TRD000036,BINANCE,XRP,TRADER0136,414051.74,2026-08-01T11:51:01
TRD000037,OKX,XRP,TRADER0080,989.99,2026-08-01T13:16:18
TRD000038,OKX,BTC,TRADER0161,332.97,2026-08-01T08:31:03
TRD000039,OKX,BTC,TRADER0096,389.18,2026-08-01T11:40:30
TRD000040,BINANCE,DOGE,TRADER0127,2915.65,2026-08-01T11:48:57
TRD000041,OKX,DOGE,TRADER0268,204306.28,2026-08-01T10:10:21
TRD000042,KRAKEN,XRP,TRADER0068,219998.83,2026-08-01T08:39:37
TRD000043,BINANCE,XRP,TRADER0289,4980.68,2026-08-01T12:36:16
TRD000044,KRAKEN,ETH,TRADER0179,451708.1,2026-08-01T10:35:38
TRD000045,COINBASE,XRP,TRADER0279,3532.52,2026-08-01T13:02:53
TRD000046,KRAKEN,BTC,TRADER0069,1359.11,2026-08-01T10:28:44
TRD000047,KRAKEN,DOGE,TRADER0108,181438.92,2026-08-01T12:36:01
TRD000048,BYBIT,SOL,TRADER0027,269430.31,2026-08-01T08:24:04
TRD000049,BINANCE,SOL,TRADER0067,204782.1,2026-08-01T13:01:17
TRD000050,BYBIT,DOGE,TRADER0005,603.78,2026-08-01T12:57:57
TRD000051,BINANCE,SOL,TRADER0299,2785.0,2026-08-01T10:48:21
TRD000052,KRAKEN,BTC,TRADER0184,1089.88,2026-08-01T11:13:09
TRD000053,OKX,XRP,TRADER0080,4632.53,2026-08-01T09:36:41
TRD000054,BYBIT,BTC,TRADER0092,232874.19,2026-08-01T10:15:31
TRD000055,KRAKEN,ETH,TRADER0056,115489.84,2026-08-01T10:01:28
TRD000056,COINBASE,XRP,TRADER0180,1560.69,2026-08-01T10:01:44
TRD000057,BINANCE,ETH,TRADER0205,445741.18,2026-08-01T11:11:46
TRD000058,OKX,XRP,TRADER0275,111040.21,2026-08-01T09:37:31
TRD000059,OKX,SOL,TRADER0020,273825.5,2026-08-01T11:58:19
TRD000060,OKX,DOGE,TRADER0060,330635.22,2026-08-01T08:24:14
TRD000061,BYBIT,BTC,TRADER0267,4631.6,2026-08-01T11:18:54
TRD000062,BYBIT,BTC,TRADER0170,3134.62,2026-08-01T10:44:00
TRD000063,OKX,SOL,TRADER0210,1664.61,2026-08-01T09:44:46
TRD000064,BYBIT,XRP,TRADER0090,3096.8,2026-08-01T10:45:57
TRD000065,KRAKEN,ETH,TRADER0221,342664.63,2026-08-01T12:13:56
TRD000066,BYBIT,XRP,TRADER0110,2580.31,2026-08-01T13:59:49
TRD000067,BINANCE,SOL,TRADER0264,3336.08,2026-08-01T10:08:16
TRD000068,KRAKEN,ETH,TRADER0102,118485.49,2026-08-01T13:33:50
TRD000069,BINANCE,XRP,TRADER0213,330268.36,2026-08-01T12:29:59
TRD000070,BYBIT,ETH,TRADER0076,3297.49,2026-08-01T11:52:11
TRD000071,COINBASE,ETH,TRADER0266,2349.52,2026-08-01T12:09:17
TRD000072,COINBASE,XRP,TRADER0272,338180.93,2026-08-01T13:34:35
TRD000073,OKX,XRP,TRADER0281,163663.16,2026-08-01T12:05:47
TRD000074,KRAKEN,ETH,TRADER0142,3840.78,2026-08-01T10:29:58
TRD000075,BYBIT,BTC,TRADER0147,1210.74,2026-08-01T09:15:34
TRD000076,COINBASE,ETH,TRADER0197,3485.05,2026-08-01T11:46:34
TRD000077,BYBIT,SOL,TRADER0278,124906.28,2026-08-01T11:32:42
TRD000078,OKX,BTC,TRADER0295,102358.43,2026-08-01T10:43:04
TRD000079,BYBIT,XRP,TRADER0276,3750.2,2026-08-01T12:26:38
TRD000080,COINBASE,SOL,TRADER0224,255542.88,2026-08-01T09:30:08
TRD000081,BYBIT,ETH,TRADER0274,183.48,2026-08-01T08:45:50
TRD000082,BYBIT,ETH,TRADER0237,204062.53,2026-08-01T09:55:35
TRD000083,BYBIT,SOL,TRADER0173,251650.49,2026-08-01T10:17:46
TRD000084,BINANCE,XRP,TRADER0010,120834.24,2026-08-01T10:02:27
TRD000085,BINANCE,BTC,TRADER0016,4750.58,2026-08-01T13:39:19
TRD000086,COINBASE,ETH,TRADER0065,2394.13,2026-08-01T12:13:58
TRD000087,KRAKEN,SOL,TRADER0086,3049.17,2026-08-01T09:29:26
TRD000088,KRAKEN,BTC,TRADER0297,224782.9,2026-08-01T11:36:37
TRD000089,COINBASE,BTC,TRADER0125,554.41,2026-08-01T13:09:04
TRD000090,BINANCE,SOL,TRADER0273,248228.35,2026-08-01T08:06:54
TRD000091,BYBIT,XRP,TRADER0055,244875.22,2026-08-01T09:23:33
TRD000092,BYBIT,ETH,TRADER0268,208032.96,2026-08-01T12:13:52
TRD000093,BYBIT,DOGE,TRADER0138,1645.41,2026-08-01T10:32:19
TRD000094,BYBIT,ETH,TRADER0238,367275.39,2026-08-01T08:15:40
TRD000095,BYBIT,SOL,TRADER0094,241929.99,2026-08-01T11:05:52
TRD000096,KRAKEN,DOGE,TRADER0142,2801.17,2026-08-01T08:46:45
TRD000097,COINBASE,XRP,TRADER0251,196129.57,2026-08-01T13:52:44
TRD000098,BYBIT,XRP,TRADER0009,510.61,2026-08-01T10:47:13
TRD000099,OKX,SOL,TRADER0243,237502.96,2026-08-01T11:12:08
TRD000100,BYBIT,SOL,TRADER0157,1294.45,2026-08-01T10:52:19
TRD000101,BINANCE,DOGE,TRADER0095,395441.86,2026-08-01T13:21:59
TRD000102,OKX,DOGE,TRADER0145,433051.35,2026-08-01T10:04:14
TRD000103,KRAKEN,ETH,TRADER0155,313654.04,2026-08-01T08:24:51
TRD000104,BINANCE,DOGE,TRADER0150,150511.8,2026-08-01T08:56:01
TRD000105,BINANCE,DOGE,TRADER0146,2373.51,2026-08-01T08:28:03
TRD000106,KRAKEN,XRP,TRADER0059,4119.47,2026-08-01T13:15:07
TRD000107,BINANCE,ETH,TRADER0077,4065.15,2026-08-01T10:15:32
TRD000108,BINANCE,DOGE,TRADER0214,3051.27,2026-08-01T12:45:23
TRD000109,BYBIT,XRP,TRADER0227,335410.06,2026-08-01T10:46:46
TRD000110,OKX,DOGE,TRADER0031,3067.67,2026-08-01T13:41:36
TRD000111,COINBASE,SOL,TRADER0042,827.43,2026-08-01T09:25:29
TRD000112,BINANCE,XRP,TRADER0231,3462.39,2026-08-01T10:06:25
TRD000113,KRAKEN,SOL,TRADER0233,193369.52,2026-08-01T13:41:21
TRD000114,OKX,ETH,TRADER0218,618.14,2026-08-01T10:25:04
TRD000115,COINBASE,BTC,TRADER0031,223044.73,2026-08-01T11:59:50
TRD000116,BINANCE,XRP,TRADER0156,477070.5,2026-08-01T11:59:04
TRD000117,BINANCE,DOGE,TRADER0021,393813.57,2026-08-01T08:14:07
TRD000118,BINANCE,ETH,TRADER0295,108298.18,2026-08-01T13:14:42
TRD000119,BINANCE,ETH,TRADER0241,276891.76,2026-08-01T09:39:07
TRD000120,OKX,XRP,TRADER0252,288004.16,2026-08-01T11:02:01
TRD000121,KRAKEN,BTC,TRADER0083,377469.47,2026-08-01T11:38:42
TRD000122,OKX,BTC,TRADER0233,485.9,2026-08-01T11:40:44
TRD000123,OKX,BTC,TRADER0278,121681.63,2026-08-01T13:40:02
TRD000124,BYBIT,XRP,TRADER0027,319687.86,2026-08-01T11:59:16
TRD000125,BYBIT,BTC,TRADER0015,4867.08,2026-08-01T09:26:29
TRD000126,KRAKEN,DOGE,TRADER0008,2783.64,2026-08-01T12:12:00
TRD000127,BINANCE,ETH,TRADER0256,216744.62,2026-08-01T11:46:54
TRD000128,BYBIT,XRP,TRADER0125,2311.09,2026-08-01T13:27:20
TRD000129,OKX,ETH,TRADER0036,416002.47,2026-08-01T11:05:37
TRD000130,OKX,SOL,TRADER0002,219422.34,2026-08-01T09:21:09
TRD000131,BYBIT,DOGE,TRADER0248,320766.97,2026-08-01T12:08:40
TRD000132,KRAKEN,ETH,TRADER0123,193424.98,2026-08-01T08:23:50
TRD000133,KRAKEN,XRP,TRADER0196,1961.09,2026-08-01T12:30:30
TRD000134,BINANCE,ETH,TRADER0258,4828.5,2026-08-01T12:00:27
TRD000135,BINANCE,DOGE,TRADER0234,125.97,2026-08-01T08:40:51
TRD000136,BYBIT,SOL,TRADER0174,3135.13,2026-08-01T10:59:26
TRD000137,OKX,XRP,TRADER0163,,2026-08-01T12:55:28
TRD000138,BINANCE,DOGE,TRADER0036,373759.83,2026-08-01T10:04:14
TRD000139,BINANCE,XRP,TRADER0051,3813.83,2026-08-01T12:02:18
TRD000140,COINBASE,SOL,TRADER0015,418457.39,2026-08-01T11:15:46
TRD000141,KRAKEN,XRP,TRADER0075,1258.78,2026-08-01T09:32:50
TRD000142,COINBASE,BTC,TRADER0196,3117.57,2026-08-01T10:06:48
TRD000143,BYBIT,SOL,TRADER0236,103758.97,2026-08-01T10:37:05
TRD000144,OKX,ETH,TRADER0038,238226.25,2026-08-01T13:48:56
TRD000145,BYBIT,SOL,TRADER0234,179686.8,2026-08-01T12:23:53
TRD000146,BINANCE,ETH,TRADER0196,329924.77,2026-08-01T08:11:58
TRD000147,BYBIT,SOL,TRADER0005,2851.35,2026-08-01T13:31:10
TRD000148,BYBIT,SOL,TRADER0118,3054.97,2026-08-01T13:39:05
TRD000149,KRAKEN,ETH,TRADER0050,358536.24,2026-08-01T12:00:44
TRD000150,BINANCE,DOGE,TRADER0187,136053.35,2026-08-01T10:58:25
TRD000151,BYBIT,ETH,TRADER0103,315763.1,2026-08-01T12:49:54
TRD000152,OKX,SOL,TRADER0085,429875.93,2026-08-01T10:41:11
TRD000153,KRAKEN,BTC,TRADER0240,4816.32,2026-08-01T11:37:02
TRD000154,OKX,SOL,TRADER0047,3963.88,2026-08-01T12:08:22
TRD000155,KRAKEN,SOL,TRADER0300,355419.71,2026-08-01T08:59:10
TRD000156,COINBASE,XRP,TRADER0013,477267.65,2026-08-01T13:33:11
TRD000157,COINBASE,BTC,TRADER0238,220876.07,2026-08-01T09:03:43
TRD000158,COINBASE,BTC,TRADER0020,1556.6,2026-08-01T10:08:13
TRD000159,OKX,ETH,TRADER0199,368194.49,2026-08-01T13:20:45
TRD000160,COINBASE,XRP,TRADER0051,346260.89,2026-08-01T08:17:52
TRD000161,KRAKEN,ETH,TRADER0228,194445.06,2026-08-01T08:54:15
TRD000162,KRAKEN,DOGE,TRADER0184,349.72,2026-08-01T12:08:20
TRD000163,BINANCE,ETH,TRADER0011,300.36,2026-08-01T13:08:20
TRD000164,COINBASE,BTC,TRADER0284,1075.43,2026-08-01T10:59:26
TRD000165,COINBASE,DOGE,TRADER0002,1422.51,2026-08-01T12:55:01
TRD000166,KRAKEN,ETH,TRADER0057,3322.24,2026-08-01T11:15:38
TRD000167,COINBASE,DOGE,TRADER0166,128.12,2026-08-01T11:49:54
TRD000168,OKX,BTC,TRADER0033,2407.42,2026-08-01T12:06:51
TRD000169,OKX,ETH,TRADER0023,463500.68,2026-08-01T12:10:09
TRD000170,BINANCE,BTC,TRADER0246,4244.13,2026-08-01T12:27:45
TRD000171,BYBIT,BTC,TRADER0042,1644.45,2026-08-01T10:30:11
TRD000172,OKX,DOGE,TRADER0281,252361.76,2026-08-01T12:07:47
TRD000173,OKX,DOGE,TRADER0221,540.93,2026-08-01T11:54:52
TRD000174,BYBIT,ETH,TRADER0212,281399.56,2026-08-01T08:51:55
TRD000175,KRAKEN,XRP,TRADER0161,3342.28,2026-08-01T12:19:00
TRD000176,BINANCE,BTC,TRADER0044,138625.77,2026-08-01T09:11:03
TRD000177,OKX,BTC,TRADER0288,368005.31,2026-08-01T11:13:06
TRD000178,BYBIT,BTC,TRADER0148,3022.03,2026-08-01T09:24:30
TRD000179,BYBIT,ETH,TRADER0056,1783.06,2026-08-01T10:32:08
TRD000180,OKX,ETH,TRADER0220,4233.52,2026-08-01T13:32:35
TRD000181,KRAKEN,BTC,TRADER0093,404963.81,2026-08-01T11:11:42
TRD000182,BINANCE,ETH,TRADER0074,2853.29,2026-08-01T13:45:47
TRD000183,BINANCE,BTC,TRADER0272,267933.0,2026-08-01T09:25:57
TRD000184,KRAKEN,SOL,TRADER0167,3895.34,2026-08-01T08:28:43
TRD000185,COINBASE,ETH,TRADER0026,208841.14,2026-08-01T12:25:14
TRD000186,OKX,XRP,TRADER0213,1402.18,2026-08-01T11:08:30
TRD000187,BYBIT,BTC,TRADER0146,337253.7,2026-08-01T08:24:48
TRD000188,COINBASE,XRP,TRADER0029,88.05,2026-08-01T09:14:56
TRD000189,KRAKEN,SOL,TRADER0168,298954.13,2026-08-01T09:35:57
TRD000190,COINBASE,XRP,TRADER0273,300104.94,2026-08-01T08:39:21
TRD000191,BYBIT,BTC,TRADER0224,468464.97,2026-08-01T13:14:26
TRD000192,BYBIT,DOGE,TRADER0208,3562.02,2026-08-01T11:41:12
TRD000193,BINANCE,SOL,TRADER0088,347250.11,2026-08-01T08:48:07
TRD000194,BYBIT,BTC,TRADER0125,2206.6,2026-08-01T11:36:08
TRD000195,KRAKEN,SOL,TRADER0114,1698.69,2026-08-01T12:49:46
TRD000196,OKX,ETH,TRADER0179,1787.94,2026-08-01T10:09:02
TRD000197,BINANCE,ETH,TRADER0132,1026.5,2026-08-01T09:36:44
TRD000198,BYBIT,XRP,TRADER0289,279562.1,2026-08-01T13:42:32
TRD000199,KRAKEN,ETH,TRADER0226,276883.23,2026-08-01T10:30:00
TRD000200,OKX,BTC,TRADER0181,224163.14,2026-08-01T08:20:32
TRD000201,BINANCE,SOL,TRADER0147,429.82,2026-08-01T13:35:52
TRD000202,OKX,DOGE,TRADER0197,2340.42,2026-08-01T12:05:36
TRD000203,OKX,ETH,TRADER0165,3044.78,2026-08-01T12:06:02
TRD000204,BINANCE,SOL,TRADER0044,2547.52,2026-08-01T11:59:04
TRD000205,BYBIT,DOGE,TRADER0268,245559.18,2026-08-01T11:31:34
TRD000206,BYBIT,SOL,TRADER0027,3956.67,2026-08-01T11:00:03
TRD000207,BINANCE,DOGE,TRADER0198,1456.53,2026-08-01T11:02:03
TRD000208,BINANCE,DOGE,TRADER0073,224092.7,2026-08-01T09:10:25
TRD000209,OKX,BTC,TRADER0159,357397.31,2026-08-01T09:09:47
TRD000210,OKX,BTC,TRADER0217,107292.22,2026-08-01T09:38:26
TRD000211,,SOL,TRADER0249,1000.43,2026-08-01T08:42:08
TRD000212,KRAKEN,BTC,TRADER0260,3865.83,2026-08-01T11:03:55
TRD000213,OKX,ETH,TRADER0193,813.55,2026-08-01T11:59:01
TRD000214,BINANCE,XRP,TRADER0187,195012.08,2026-08-01T13:33:27
TRD000215,KRAKEN,XRP,TRADER0120,223787.16,2026-08-01T09:45:57
TRD000216,KRAKEN,DOGE,TRADER0226,212708.69,2026-08-01T12:34:39
TRD000217,OKX,XRP,TRADER0083,4093.61,2026-08-01T10:16:32
TRD000218,BINANCE,XRP,TRADER0191,2794.98,2026-08-01T10:35:40
TRD000219,BINANCE,ETH,TRADER0140,305341.1,2026-08-01T08:50:05
TRD000220,COINBASE,XRP,TRADER0179,265958.76,2026-08-01T12:34:09
TRD000221,KRAKEN,ETH,TRADER0198,4972.9,2026-08-01T10:54:02
TRD000222,BINANCE,SOL,TRADER0075,214751.76,2026-08-01T09:15:47
TRD000223,BYBIT,XRP,TRADER0003,4533.99,2026-08-01T09:21:39
TRD000224,OKX,DOGE,TRADER0271,2145.11,2026-08-01T10:44:28
TRD000225,BINANCE,BTC,TRADER0123,417559.64,2026-08-01T08:34:18
TRD000226,BINANCE,XRP,TRADER0275,131.35,2026-08-01T09:18:24
TRD000227,KRAKEN,XRP,TRADER0001,196225.7,2026-08-01T09:42:17
TRD000228,BINANCE,DOGE,TRADER0185,385.01,2026-08-01T11:33:14
TRD000229,BYBIT,BTC,TRADER0199,4906.15,2026-08-01T11:15:01
TRD000230,BINANCE,SOL,TRADER0124,351302.78,2026-08-01T09:12:51
TRD000231,BINANCE,SOL,TRADER0280,357118.25,2026-08-01T12:21:20
TRD000232,COINBASE,ETH,TRADER0033,3594.42,2026-08-01T10:40:15
TRD000233,COINBASE,BTC,TRADER0103,226238.33,2026-08-01T12:41:28
TRD000234,BYBIT,DOGE,TRADER0243,1303.9,2026-08-01T10:36:15
TRD000235,KRAKEN,BTC,TRADER0170,419736.96,2026-08-01T11:38:27
TRD000236,BYBIT,XRP,TRADER0174,298481.29,2026-08-01T11:20:37
TRD000237,OKX,SOL,TRADER0043,3649.05,2026-08-01T12:57:54
TRD000238,KRAKEN,SOL,TRADER0053,364367.69,2026-08-01T12:03:31
TRD000239,OKX,XRP,TRADER0086,3464.34,2026-08-01T11:12:32
TRD000240,OKX,XRP,TRADER0141,3215.37,2026-08-01T08:40:58
TRD000241,BYBIT,SOL,TRADER0263,4015.43,2026-08-01T09:17:58
TRD000242,OKX,XRP,TRADER0018,194398.15,2026-08-01T11:17:46
TRD000243,BYBIT,DOGE,TRADER0017,371624.82,2026-08-01T11:23:10
TRD000244,BYBIT,BTC,TRADER0294,246779.98,2026-08-01T13:54:44
TRD000245,KRAKEN,ETH,TRADER0059,174419.22,2026-08-01T13:06:44
TRD000246,BINANCE,SOL,TRADER0134,185828.17,2026-08-01T12:28:15
TRD000247,COINBASE,BTC,TRADER0070,280817.07,2026-08-01T08:47:56
TRD000248,KRAKEN,SOL,TRADER0034,216144.91,2026-08-01T09:26:01
TRD000249,COINBASE,SOL,TRADER0261,1160.0,2026-08-01T10:09:17
TRD000250,BYBIT,BTC,TRADER0185,2792.41,2026-08-01T13:34:12
TRD000251,BINANCE,BTC,TRADER0159,386773.44,2026-08-01T12:47:05
TRD000252,BYBIT,XRP,TRADER0295,415.07,2026-08-01T12:05:44
TRD000253,BYBIT,DOGE,TRADER0177,685.26,2026-08-01T09:10:28
TRD000254,BYBIT,DOGE,TRADER0029,307240.85,2026-08-01T09:29:55
TRD000255,COINBASE,SOL,TRADER0116,476361.62,2026-08-01T08:43:04
TRD000256,KRAKEN,ETH,TRADER0283,1408.53,2026-08-01T12:34:28
TRD000257,COINBASE,DOGE,TRADER0298,363493.15,2026-08-01T13:07:48
TRD000258,BINANCE,BTC,TRADER0042,356581.49,2026-08-01T13:55:36
TRD000259,COINBASE,DOGE,TRADER0214,112114.36,2026-08-01T13:50:34
TRD000260,KRAKEN,XRP,TRADER0126,373996.34,2026-08-01T12:07:41
TRD000261,BINANCE,BTC,TRADER0081,2226.05,2026-08-01T11:05:47
TRD000262,OKX,ETH,TRADER0161,227726.56,2026-08-01T11:37:45
TRD000263,COINBASE,SOL,TRADER0264,227646.35,2026-08-01T09:06:54
TRD000264,KRAKEN,XRP,TRADER0127,120242.12,2026-08-01T13:36:04
TRD000265,BYBIT,ETH,TRADER0082,473500.61,2026-08-01T09:43:40
TRD000266,COINBASE,XRP,TRADER0264,451630.27,2026-08-01T08:12:39
TRD000267,BINANCE,XRP,TRADER0259,196291.46,2026-08-01T08:26:34
TRD000268,BINANCE,SOL,TRADER0254,437139.86,2026-08-01T10:36:03
TRD000269,OKX,BTC,TRADER0056,452982.29,2026-08-01T11:40:13
TRD000270,KRAKEN,BTC,TRADER0206,324726.75,2026-08-01T13:02:08
TRD000271,KRAKEN,BTC,TRADER0198,405761.65,2026-08-01T13:40:22
TRD000272,OKX,BTC,TRADER0066,257561.49,2026-08-01T13:04:39
TRD000273,KRAKEN,ETH,TRADER0102,3032.19,2026-08-01T08:24:44
TRD000274,BINANCE,ETH,TRADER0171,,2026-08-01T13:31:05
TRD000275,OKX,ETH,TRADER0168,227412.01,2026-08-01T13:36:41
TRD000276,KRAKEN,DOGE,TRADER0173,303885.64,2026-08-01T13:07:25
TRD000277,KRAKEN,XRP,TRADER0009,369522.56,2026-08-01T13:18:46
TRD000278,KRAKEN,BTC,TRADER0243,1364.38,2026-08-01T08:28:02
TRD000279,OKX,XRP,TRADER0088,388473.13,2026-08-01T09:20:42
TRD000280,COINBASE,BTC,TRADER0294,4743.62,2026-08-01T12:00:51
TRD000281,KRAKEN,XRP,TRADER0078,181556.67,2026-08-01T08:34:00
TRD000282,COINBASE,DOGE,TRADER0107,499249.15,2026-08-01T12:46:58
TRD000283,BYBIT,SOL,TRADER0089,313250.83,2026-08-01T13:51:19
TRD000284,KRAKEN,DOGE,TRADER0248,198607.65,2026-08-01T10:02:48
TRD000285,KRAKEN,SOL,TRADER0107,295601.23,2026-08-01T11:10:29
TRD000286,OKX,SOL,TRADER0148,370648.9,2026-08-01T11:35:28
TRD000287,KRAKEN,ETH,TRADER0149,258.23,2026-08-01T11:09:09
TRD000288,BYBIT,SOL,TRADER0246,431180.68,2026-08-01T13:06:56
TRD000289,KRAKEN,ETH,TRADER0056,3097.6,2026-08-01T08:27:43
TRD000290,OKX,ETH,TRADER0120,265320.55,2026-08-01T08:54:54
TRD000291,COINBASE,BTC,TRADER0282,163176.43,2026-08-01T12:20:45
TRD000292,COINBASE,SOL,TRADER0165,1462.81,2026-08-01T13:56:14
TRD000293,OKX,ETH,TRADER0274,3706.5,2026-08-01T09:35:36
TRD000294,BYBIT,ETH,TRADER0019,258797.83,2026-08-01T09:41:45
TRD000295,KRAKEN,BTC,TRADER0005,341113.19,2026-08-01T10:35:24
TRD000296,BYBIT,DOGE,TRADER0269,475424.2,2026-08-01T10:29:00
TRD000297,COINBASE,BTC,TRADER0170,283565.79,2026-08-01T09:41:41
TRD000298,BINANCE,SOL,TRADER0152,2860.52,2026-08-01T13:33:39
TRD000299,BYBIT,XRP,TRADER0264,1673.24,2026-08-01T09:40:54
TRD000300,COINBASE,XRP,TRADER0166,102732.05,2026-08-01T10:08:37
TRD000301,BYBIT,SOL,TRADER0169,1544.63,2026-08-01T10:22:50
TRD000302,KRAKEN,ETH,TRADER0032,3355.54,2026-08-01T11:41:24
TRD000303,OKX,SOL,TRADER0061,476254.25,2026-08-01T13:35:40
TRD000304,COINBASE,ETH,TRADER0069,281991.47,2026-08-01T11:47:06
TRD000305,OKX,XRP,TRADER0276,4019.88,2026-08-01T13:25:23
TRD000306,BINANCE,DOGE,TRADER0229,2664.46,2026-08-01T08:33:43
TRD000307,OKX,DOGE,TRADER0104,159940.95,2026-08-01T12:44:10
TRD000308,BYBIT,BTC,TRADER0106,295531.19,2026-08-01T08:30:23
TRD000309,BYBIT,ETH,TRADER0263,325564.47,2026-08-01T10:48:18
TRD000310,BINANCE,XRP,TRADER0131,4091.44,2026-08-01T08:24:44
TRD000311,BYBIT,SOL,TRADER0033,2728.76,2026-08-01T12:17:48
TRD000312,BINANCE,SOL,TRADER0210,154171.55,2026-08-01T11:24:30
TRD000313,BYBIT,XRP,TRADER0194,1909.45,2026-08-01T13:56:55
TRD000314,KRAKEN,BTC,TRADER0092,4964.59,2026-08-01T10:01:37
TRD000315,BINANCE,BTC,TRADER0153,387637.59,2026-08-01T12:50:30
TRD000316,BYBIT,ETH,TRADER0127,2330.1,2026-08-01T09:01:37
TRD000317,BINANCE,XRP,TRADER0009,1241.3,2026-08-01T12:03:48
TRD000318,OKX,BTC,TRADER0126,3715.68,2026-08-01T12:54:46
TRD000319,COINBASE,BTC,TRADER0072,215705.38,2026-08-01T13:15:22
TRD000320,OKX,SOL,TRADER0122,1543.73,2026-08-01T11:45:51
TRD000321,KRAKEN,SOL,TRADER0032,2805.75,2026-08-01T13:41:52
TRD000322,BYBIT,DOGE,TRADER0254,237765.93,2026-08-01T12:46:25
TRD000323,KRAKEN,XRP,TRADER0210,250584.08,2026-08-01T10:11:36
TRD000324,COINBASE,SOL,TRADER0074,465896.47,2026-08-01T11:47:28
TRD000325,OKX,DOGE,TRADER0069,201998.26,2026-08-01T13:53:11
TRD000326,BINANCE,XRP,TRADER0190,507.7,2026-08-01T08:28:08
TRD000327,KRAKEN,XRP,TRADER0021,4374.42,2026-08-01T12:21:48
TRD000328,COINBASE,SOL,TRADER0156,4787.25,2026-08-01T09:04:04
TRD000329,BYBIT,ETH,TRADER0105,195732.38,2026-08-01T10:34:35
TRD000330,BYBIT,XRP,TRADER0274,223368.91,2026-08-01T12:40:03
TRD000331,BYBIT,XRP,TRADER0051,388965.43,2026-08-01T09:50:56
TRD000332,KRAKEN,SOL,TRADER0212,276.29,2026-08-01T08:08:51
TRD000333,KRAKEN,DOGE,TRADER0300,2916.76,2026-08-01T09:47:08
TRD000334,KRAKEN,ETH,TRADER0195,198292.01,2026-08-01T10:20:32
TRD000335,BYBIT,XRP,TRADER0236,882.76,2026-08-01T09:16:26
TRD000336,OKX,XRP,TRADER0095,4588.65,2026-08-01T12:46:08
TRD000337,BINANCE,BTC,TRADER0025,3833.48,2026-08-01T08:37:07
TRD000338,COINBASE,BTC,TRADER0112,249280.28,2026-08-01T12:26:26
TRD000339,BINANCE,BTC,TRADER0273,104740.39,2026-08-01T12:52:35
TRD000340,KRAKEN,BTC,TRADER0258,4075.13,2026-08-01T08:58:26
